idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
1,Notre-Dame-des-Champs,23,1 pièce,avant 1946,Non meublée,31.3,31.6,21.9,22.1,37.6,37.9
1,Saint-Thomas-d'Aquin,25,1 pièce,avant 1946,Non meublée,31.3,31.6,21.9,22.1,37.6,37.9
1,Invalides,26,1 pièce,avant 1946,Non meublée,31.3,31.6,21.9,22.1,37.6,37.9
1,Ecole-Militaire,27,1 pièce,avant 1946,Non meublée,31.3,31.6,21.9,22.1,37.6,37.9
1,Gros-Caillou,28,1 pièce,avant 1946,Non meublée,31.3,31.6,21.9,22.1,37.6,37.9
2,St-Germain-l'Auxerrois,1,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Palais-Royal,3,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Place-Vendôme,4,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Gaillon,5,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Saint-Merri,13,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Arsenal,15,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Notre-Dame,16,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Monnaie,21,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Odeon,22,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Saint-Germain-des-Près,24,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Champs-Elysés,29,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
2,Faubourg-du-Roule,30,1 pièce,avant 1946,Non meublée,30.3,30.5,21.2,21.4,36.4,36.6
